Job Title,Skills
Artificial intelligence Architect,"ai architecture, machine learning, cloud computing, data science, deep learning, systems design, aws, azure, scalability, security, model deployment"
Data Analysts,"sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling"
DevOps Engineer,"docker, kubernetes, cicd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, scripting, cloud computing"
Machine Learning Engineer,"python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms"
Android Developer,"android sdk, java, kotlin, uiux design, rest api, sql, android studio, firebase, mobile development"
Blockchain Developer,"blockchain, ethereum, smart contracts, solidity, cryptocurrency, distributed ledger, consensus algorithms, web3, javascript, nodejs"
Cloud Architect,"cloud architecture, aws, azure, google cloud, terraform, cloud security, networking, microservices, cicd, automation, docker, kubernetes"
Cloud Engineer,"cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization"
Data Engineer,"sql, etl, data warehousing, python, spark, hadoop, cloud computing, data pipelines, data modeling"
Data Scientist,"python, r, machine learning, data science, statistics, sql, hadoop, spark, data wrangling, data visualization, cloud computing"
Front End Developer,"javascript, html, css, react, angular, vuejs, nodejs, typescript, sass, uiux design"
Full Stack Developer,"javascript, html, css, nodejs, react, angular, expressjs, mongodb, sql, python, django, devops, cicd"
Game Developer,"unity, c, game design, game engines, vr development, javascript, unreal engine"
IOS Developer,"swift, objectivec, ios sdk, xcode, uiux design, rest api, sql, mobile development"
Mobile Application Developer,"android sdk, java, kotlin, ios, swift, objectivec, react native, flutter, mobile development, uiux design"
Network Engineer,"tcpip, lanwan, routing, switching, firewalls, vpn, cisco, security, networking protocols"
QA Engineer,"automation testing, selenium, junit, testing, cicd, python, git, jenkins, agile testing, performance testing"
Software Developer,"algorithms, data structures, debugging, software development, python, java, c"
Software Engineer,"java, c, python, algorithms, data structures, software development, git, jenkins, cicd, cloud computing"
Systems Engineer,"systems design, linux, windows server administration, networking, cloud computing"
UI Designer,"uiux design, wireframing, prototyping, adobe creative suite, figma, user testing"
UX Designer,"uiux design, user research, wireframing, prototyping, usability testing, interaction design"
Web Developer,"html, css, javascript, react, nodejs, angular, php"
IoT Developer,"iot platforms, embedded systems, sensor technology, programming"
UX/UI Designer,"uiux design, user research, prototyping, usability testing"
Back End Developer,"serverside programming, database management, api development, frameworks"
Data Science Spesialist,"data analysis, machine learning, statistical modeling, data visualization"
Cybersecurity Engineer,"security protocols, threat analysis, risk management, incident response"
Computer Network Architect,"network design, routing, switching, security, lanwan, tcpip, vpn, firewalls, cloud networking"
Database Administrator,"sql, database management, mysql, postgresql, oracle, database design, performance tuning, backup and recovery"
